date,year,month,day,tavg,tmin,tmax,wdir,wspd,humidity,uvindex,sunrise,sunset,durationday,season,wdirn
2017-04-26,2017,04,26,5.4,1.2,8.8,North,17.9,70.0,5,05:41:47,20:15:50,874,spring,6.0
2017-04-27,2017,04,27,5.9,-0.6,10.0,WNW,11.5,72.2,5,05:39:49,20:17:29,877,spring,294.0
2017-04-28,2017,04,28,10.0,6.9,13.9,WSW,7.8,66.2,7,05:37:53,20:19:08,881,spring,241.79166666666666
2017-04-29,2017,04,29,10.5,3.5,15.3,SSW,11.4,61.8,8,05:35:57,20:20:47,884,spring,195.0
2017-04-30,2017,04,30,13.3,9.2,17.6,WSW,15.8,53.7,4,05:34:03,20:22:26,888,spring,241.79166666666666
2017-05-01,2017,05,01,10.7,8.4,13.3,SSE,14.2,78.9,7,05:32:10,20:24:04,891,spring,163.7037037037037
2017-05-02,2017,05,02,11.3,6.0,16.4,NE,13.6,70.9,8,05:30:18,20:25:42,895,spring,54.0
2017-05-03,2017,05,03,9.4,7.4,11.7,NNE,19.2,80.7,6,05:28:28,20:27:19,898,spring,33.0
2017-05-04,2017,05,04,11.1,9.1,13.8,NE,20.1,76.3,8,05:26:39,20:28:57,902,spring,47.0
2017-05-05,2017,05,05,11.4,7.8,15.9,ENE,25.0,64.8,8,05:24:52,20:30:33,905,spring,69.0
2017-05-06,2017,05,06,11.7,9.4,14.5,NE,20.1,71.4,5,05:23:06,20:32:10,909,spring,51.0
2017-05-07,2017,05,07,11.8,7.7,17.9,North,13.2,69.1,8,05:21:22,20:33:45,912,spring,5.0
2017-05-08,2017,05,08,9.6,7.2,11.6,NNE,17.6,68.1,8,05:19:40,20:35:21,915,spring,21.0
2017-05-09,2017,05,09,9.7,6.9,13.1,NE,12.6,60.9,9,05:17:59,20:36:55,918,spring,40.0
2017-05-10,2017,05,10,10.7,3.1,18.1,SSE,8.8,63.4,9,05:16:20,20:38:29,922,spring,163.7037037037037
2017-05-11,2017,05,11,13.9,6.6,22.1,East,13.1,65.8,6,05:14:43,20:40:03,925,spring,93.0
2017-05-12,2017,05,12,14.8,12.5,18.2,South,15.4,80.0,7,05:13:07,20:41:35,928,spring,190.0
2017-05-13,2017,05,13,14.0,11.2,18.4,SW,17.5,68.8,8,05:11:34,20:43:07,931,spring,219.0
2017-05-14,2017,05,14,14.2,10.6,19.4,SW,14.8,66.7,8,05:10:02,20:44:38,934,spring,229.0
2017-05-15,2017,05,15,13.7,8.8,18.0,SSW,14.9,79.0,4,05:08:32,20:46:08,937,spring,193.0
2017-05-16,2017,05,16,18.3,15.2,23.3,SW,17.3,74.5,4,05:07:05,20:47:37,940,spring,216.0
2017-05-17,2017,05,17,15.2,11.5,17.5,South,8.9,92.8,3,05:05:39,20:49:06,943,spring,171.0
2017-05-18,2017,05,18,11.9,9.3,16.4,WNW,7.7,80.6,9,05:04:16,20:50:33,946,spring,297.0
2017-05-19,2017,05,19,11.3,9.4,14.3,WNW,10.7,77.6,5,05:02:55,20:51:59,949,spring,283.0
2017-05-20,2017,05,20,11.5,6.5,16.0,SW,14.4,72.1,6,05:01:36,20:53:23,951,spring,220.0
2017-05-21,2017,05,21,14.2,7.6,20.3,SSE,10.5,66.1,9,05:00:19,20:54:47,954,spring,163.7037037037037
2017-05-22,2017,05,22,17.6,9.8,24.2,SSE,13.2,58.4,8,04:59:05,20:56:09,957,spring,161.0
2017-05-23,2017,05,23,16.4,11.0,20.9,West,11.3,73.4,7,04:57:53,20:57:30,959,spring,270.0
2017-05-24,2017,05,24,18.9,11.2,24.8,NNW,6.7,66.3,8,04:56:43,20:58:49,962,spring,336.0
2017-05-25,2017,05,25,19.6,12.4,26.2,SSE,10.1,65.6,9,04:55:36,21:00:07,964,spring,163.7037037037037
2017-05-26,2017,05,26,20.5,13.2,27.0,ESE,19.4,62.4,9,04:54:32,21:01:23,966,spring,108.0
2017-05-27,2017,05,27,18.5,14.7,23.1,South,16.6,68.6,9,04:53:30,21:02:38,969,spring,188.0
2017-05-28,2017,05,28,16.6,10.3,22.3,WSW,7.1,75.1,8,04:52:30,21:03:51,971,spring,241.0
2017-05-29,2017,05,29,17.3,13.9,20.7,SSE,10.4,83.9,4,04:51:33,21:05:02,973,spring,152.0
2017-05-30,2017,05,30,17.1,14.0,19.5,West,18.0,74.4,8,04:50:39,21:06:11,975,spring,263.0
2017-05-31,2017,05,31,17.1,12.0,21.3,West,6.1,71.6,7,04:49:48,21:07:18,977,spring,270.0
2017-06-01,2017,06,01,18.6,11.9,24.6,SW,8.9,64.7,9,04:48:59,21:08:23,979,spring,216.0
2017-06-02,2017,06,02,18.4,11.9,23.9,WNW,6.3,76.0,7,04:48:14,21:09:26,981,spring,290.0
2017-06-03,2017,06,03,16.8,14.4,20.0,WNW,15.1,64.2,9,04:47:31,21:10:27,982,spring,284.0
2017-06-04,2017,06,04,14.3,8.8,18.9,WSW,16.9,64.6,8,04:46:51,21:11:26,984,spring,249.0
2017-06-05,2017,06,05,14.2,11.5,16.8,SSW,22.5,74.5,6,04:46:14,21:12:23,986,spring,206.0
2017-06-06,2017,06,06,12.7,9.9,16.2,WSW,32.1,81.0,4,04:45:40,21:13:17,987,spring,249.0
2017-06-07,2017,06,07,14.4,10.6,18.9,WSW,27.6,64.4,9,04:45:08,21:14:08,989,spring,258.0
2017-06-08,2017,06,08,15.3,13.0,17.5,SW,21.0,77.5,6,04:44:40,21:14:58,990,spring,218.0
2017-06-09,2017,06,09,16.0,11.6,20.3,WSW,18.1,73.3,8,04:44:15,21:15:44,991,spring,246.0
2017-06-10,2017,06,10,18.1,13.4,22.8,SW,12.8,67.3,9,04:43:53,21:16:28,992,spring,218.82758620689654
2017-06-11,2017,06,11,18.3,14.8,22.5,WSW,21.7,67.2,6,04:43:34,21:17:10,993,spring,237.0
2017-06-12,2017,06,12,15.4,12.4,18.8,West,21.2,65.5,8,04:43:18,21:17:49,994,spring,263.0
2017-06-13,2017,06,13,17.0,9.2,22.6,West,7.0,65.8,7,04:43:05,21:18:25,995,spring,272.0
2017-06-14,2017,06,14,20.2,11.6,26.0,SE,10.7,58.4,9,04:42:55,21:18:58,996,spring,139.0
2017-06-15,2017,06,15,18.3,13.5,22.8,West,19.1,62.0,9,04:42:48,21:19:28,996,spring,273.0
2017-06-16,2017,06,16,17.5,11.1,23.2,West,15.4,64.8,8,04:42:44,21:19:56,997,spring,280.0
